通道编号,平均高度(km),水云(LW)_综合得分,过冷水云(SLW)_综合得分,混合云(MP)_综合得分,冰云(Ice)_综合得分
45,1.678095,0.3608707154867827,0.29413549922673143,0.2633078118056548,0.3337885846232989
46,1.678095,0.2819484857001506,0.27616550373923,0.17306602437827126,0.3408036203380536
47,1.678095,0.26611211922147776,0.43039143651440614,0.19779211072596434,0.28158659123971524
48,1.678095,0.36189567213240914,0.31361129101179896,0.31067181459493093,0.5074557929227974
49,1.678095,0.3230566747152194,0.25913624873490815,0.1555063795099637,0.35638768224302847
50,1.800525,0.3607142922303504,0.254742753280685,0.24320579953775776,0.3810041401611808
51,1.803315,0.3876729211177796,0.2715576800203722,0.22075420444829788,0.4480726998178411
52,1.803315,0.28820965112380864,0.5225350252695821,0.5350531377428607,0.18386746147158436
53,1.803315,0.2630039966328417,0.2830272678144597,0.2866879748276228,0.2719340921919006
54,1.803315,0.3090866642314906,0.27481184800066544,0.20919103318021368,0.3728491982284621
55,1.803315,0.3318537854862245,0.2928137244304466,0.25596944575935787,0.3184901207919785
56,1.803315,0.27222852250254653,0.28567976908960885,0.16022940704899552,0.30006484301837416
57,1.925745,0.2568499742114654,0.4564195249448832,0.2097545755728222,0.25733363703620293
58,2.04956,0.3454618433243731,0.293752020282032,0.2227878515896089,0.44866209026548304
59,2.04956,0.3147986022489258,0.26715950536718663,0.2607633039152351,0.3154508034147438
60,2.04956,0.34699898888859554,0.2799015948104626,0.17233783180087422,0.325855581901099
61,2.04956,0.3492844988872907,0.2834799521009788,0.16245793761473362,0.30135293171007793
62,2.17478,0.36019123987304,0.2590350073031586,0.22457222803741214,0.4126709798543775
63,2.17478,0.3884425948160853,0.2697173890265678,0.2488450159205612,0.38281645309483014
64,2.17478,0.3777618267061847,0.34602319920578345,0.33738899068784045,0.6997305130666343
65,2.17478,0.4391776096244638,0.4233604191600588,0.4019840460453991,0.567185079341399
66,2.17478,0.4637797313438618,0.3570332773381211,0.35714980210081765,0.5675662471769222
67,2.17478,0.41990631895731045,0.31014999589573145,0.3532452694827323,0.41046550777601615
68,2.17478,0.3044111354906243,0.3034428854551671,0.3954858422167913,0.30318995662640447
69,2.17478,0.2824769504720543,0.396428795721421,0.3169443596547334,0.3418108571377973
70,2.17478,0.30709102636189384,0.27243566967306015,0.3614048329737332,0.7306235281364174
71,2.17478,0.35042796689672,0.3105913496848402,0.37105848279133363,0.37242821948297483
72,2.17478,0.5462667833209376,0.4971115773910964,0.5003865508228239,0.40356728833094285
73,2.3,0.31290912614311406,0.22654297550488403,0.33356983244446287,0.4044567480684736
74,2.3,0.6877909698263581,0.5610798829804035,0.6475279107381039,0.4473481751515708
75,2.3,0.2607482363426921,0.27302023161021133,0.29007927184124077,0.5929836644244456
76,2.3,0.2828474199777914,0.2721991407354976,0.3267355387569233,0.5535386941098089
77,2.3,0.4197460468903719,0.35137839308382984,0.4808788117870058,0.46246107167882794
78,2.3,0.43567580279335166,0.3827795302660883,0.5930367286301074,0.4234916473379047
79,2.42658,0.2641325136621816,0.31231459879821727,0.2097398224408544,0.6496749693804009
80,2.55316,0.32695536105608547,0.277032657527164,0.4451123557726226,0.43973730432142255
81,2.68406,0.3378127062019584,0.36692346155932265,0.28159361232976715,0.3854983912033352
82,2.68406,0.5966518772091466,0.4121136381548434,0.6293027212353769,0.44401777406445747
83,2.68406,0.6083817965699387,0.4998201582911242,0.7086965345711639,0.4775838306914135
84,2.68406,0.2728101831410737,0.26875210034365005,0.3317764913862237,0.4143303932396119
85,2.68406,0.46798009447776917,0.2690245798826333,0.4627182304506375,0.39874961237066997
86,2.68406,0.3441894818713502,0.2420031455696393,0.3474081733947994,0.39435897650298185
87,2.68406,0.35863787389077845,0.6713032188906354,0.2531659877487385,0.41273348758466394
88,2.68406,0.2151346608665596,0.4883466885971571,0.42407669119834823,0.39271288589783043
89,2.68406,0.28839402977062045,0.2711636306604849,0.39176257624079436,0.4307747003279114
90,2.68406,0.2259186868087355,0.35231585855917075,0.321287387495083,0.6816519996307923
91,2.68406,0.24459915917404243,0.2778119495267913,0.36621128751209714,0.44908975377802357
92,2.68406,0.2679497923488723,0.2986744351213191,0.46581100874203196,0.4247468709773241
93,2.68406,0.2452724279806475,0.29221425497831116,0.39803718699390683,0.22752895928020356
94,2.68406,0.33255878681636253,0.3232803225537038,0.25489002126155724,0.3317951657152565
95,3.06812,0.28643316073814723,0.2835338115059191,0.24506155462193815,0.2974515982809372
96,3.06812,0.2674261907840447,0.40761953932941886,0.2830723651644522,0.23830062391204265
97,3.06812,0.36093672614440564,0.3126187622624153,0.23407027874285805,0.56565858731601
98,3.06812,0.2510339866734656,0.275766585649767,0.37590271531478026,0.22249377003734547
99,3.06812,0.32472551030920077,0.2995067398777948,0.18522958663840672,0.3092370097707402
100,3.06812,0.3242347859900536,0.30278563096674377,0.21160064559831093,0.3063669617084363
101,3.06812,0.3198538029172622,0.316084296970825,0.3067800270756617,0.2820494211491417
102,3.06812,0.2975698007153687,0.31334738638426757,0.36991223526252703,0.24129473397224352
103,3.06812,0.338073446689165,0.30403142270719213,0.2755654375946128,0.31563411735683744
104,3.19753,0.35904876204564284,0.27876922926361675,0.2271373278884401,0.45901275228119354
