通道编号,平均高度(km),水云(LW)_综合得分,过冷水云(SLW)_综合得分,混合云(MP)_综合得分,冰云(Ice)_综合得分
124,7.20793,0.26876279539334125,0.22617651843751732,0.3064085387422138,0.40356409650375596
125,7.20793,0.2328968751383269,0.26881861045432937,0.2049190699316029,0.3417890485612795
126,7.20793,0.2654132686991028,0.28014377976101107,0.2584799670645275,0.4011158375458474
127,7.20793,0.19492742322390424,0.2342809046468781,0.12448345245166408,0.2345750131737767
128,7.20793,0.29839408075459883,0.4309428114520386,0.2810519336165814,0.20403289514874465
129,7.20793,0.22051965565324408,0.15846534097108175,0.11400046812503507,0.15061509904563603
130,7.20793,0.2139862090568058,0.18646809125082905,0.11822439281079546,0.18087736085527026
131,7.20793,0.2176832641293783,0.18698640920498855,0.12828346064615945,0.2132763266354508
132,7.20793,0.22169615753015967,0.3251650200113147,0.1471116904067961,0.18665023988066462
133,7.20793,0.2139171170738263,0.15286687923200007,0.15737397641329587,0.18354476111011142
134,7.20793,0.16217707955553917,0.16295327762599152,0.16944987514703916,0.17629886949562745
135,7.20793,0.16382581513225322,0.1854387517264191,0.20568046554720473,0.16488346920388122
136,7.20793,0.14832116269069648,0.1782193222515438,0.1467488640971637,0.19961880845453764
137,7.20793,0.18686898164166663,0.17493695544397247,0.1253817559137426,0.2194837522281922
138,7.20793,0.24715606365605672,0.19449474751222126,0.13527762502964302,0.2842118740012514
139,7.20793,0.25495749973916826,0.20601441597344405,0.17028939023141396,0.31758569481354587
140,7.20793,0.20629866663232266,0.19166945352435205,0.15409988439088826,0.3076734360176851
141,7.20793,0.18057920851901565,0.17875732473800054,0.12375445261872448,0.27328997683495954
142,7.20793,0.19218644909807628,0.17380555392504296,0.11660247756656429,0.2555657857831685
143,7.20793,0.22110688488774807,0.17567566785121114,0.12154197465955781,0.2622362901960877
144,7.20793,0.18438957323597738,0.16946105575646112,0.11602874159959296,0.23829829687236545
145,7.20793,0.20577228395611627,0.14453364488005677,0.10994950110278014,0.18026458597236586
146,7.20793,0.27879618334662226,0.18427703432288403,0.1693840357552517,0.28128100257150496
147,7.20793,0.30616130931541097,0.21998507374402132,0.25499180057407533,0.315695630374616
148,7.20793,0.3004289872883698,0.22213196416300854,0.2694707715661604,0.3260002613374686
149,7.20793,0.33279365047561915,0.2560749344905227,0.32141327132400066,0.3447912454340936
150,7.20793,0.401887520373238,0.34886707808407524,0.45730616345413616,0.3498566421237516
151,7.20793,0.4360890961737527,0.39524249205916595,0.6127969946623515,0.3528961447593643
152,7.20793,0.38397792266632175,0.33264140830417804,0.5862964153094247,0.2877111376381276
153,7.20793,0.319378778598373,0.2151422473068704,0.14493948545164423,0.24641814130512196
154,7.20793,0.247992271434624,0.201258428330112,0.13830645665781485,0.24324625489134788
155,7.20793,0.2405439690609291,0.19699320366356943,0.1340559487604621,0.22772063480828175
156,7.20793,0.22880825076555136,0.20837776858165213,0.13712735067607146,0.25867980052079304
157,7.20793,0.22978389271402377,0.2066370339137865,0.13539792464085693,0.270676037659767
158,7.20793,0.29963517881771,0.22560438081145132,0.14838234893779387,0.28588402121891515
159,7.20793,0.3726795071982794,0.2712099026053755,0.21766602543914346,0.3376496979783597
160,7.20793,0.3787452385566157,0.2886022154002059,0.26812222404169683,0.3624415448266001
161,7.20793,0.31654181011758803,0.2673490952402772,0.2505910801491662,0.3573178322004013
162,7.20793,0.2885597253942174,0.23410560059181398,0.20288152212635632,0.3322076798305201
163,7.20793,0.2587803735435273,0.2240108541052418,0.1703755182821415,0.31668658179014814
164,7.20793,0.24747672667291057,0.2194411526204215,0.1642257501716993,0.30608492336345977
165,7.20793,0.31130619585124314,0.23974857633574778,0.186223473891589,0.31787371060594904
166,7.20793,0.3424492241832364,0.2486329279289331,0.19890276365946444,0.31816349202474803
167,7.20793,0.29726981139435843,0.22926479516090503,0.17382480879582873,0.302628703651211
168,7.20793,0.31024187526458263,0.2041699709218442,0.13590025056299274,0.23653494118895776
169,7.20793,0.38519548635543294,0.2642572424422566,0.26579145853518166,0.31687092738854844
170,7.20793,0.40744511728496885,0.31264109462341866,0.35408466628725216,0.34286682821318687
171,7.20793,0.4027402604437991,0.3117368003502096,0.37263130062761235,0.3528928497484129
172,7.20793,0.4339585537048729,0.34836516636697107,0.45069826973944854,0.3699001687407655
173,7.20793,0.492888129946403,0.42639638168673616,0.5812256150052973,0.3717846807309051
174,7.20793,0.5035041130618415,0.4656064861489537,0.6995180018709416,0.3782610417257344
175,7.20793,0.4458234951621128,0.4118062174933057,0.7322090842910877,0.3165488723903204
176,7.20793,0.3084528475154815,0.2703918572901998,0.3282100340916804,0.09508108561963396
177,7.20793,0.30071004431011655,0.198712608505322,0.17179480417013615,0.11799939030239975
